Formulation Cast3M;Modèle Cast3M;Description courte;Équivalent pyrucast
MECANIQUE - linéaire;ELASTIQUE ISOTROPE;Élasticité linéaire isotrope (E, nu) — comportement par défaut;Model.elasticity (plane_stress / plane_strain / axisymmetric / solid)
MECANIQUE - linéaire;ELASTIQUE ORTHOTROPE;Élasticité orthotrope (3 modules, 3 coefficients de Poisson);Model.elasticity_with_symmetry (symmetry=orthotropic) — E_1..G_23 + repère V1/V2
MECANIQUE - linéaire;ELASTIQUE ANISOTROPE;Élasticité anisotrope générale (matrice de Hooke complète);Model.elasticity_with_symmetry (symmetry=anisotropic) — les 21 constantes C_11..C_66 + repère V1/V2
MECANIQUE - linéaire;ELASTIQUE UNIDIRECTIONNEL;Élasticité de composite unidirectionnel (fibres);—
MECANIQUE - linéaire;ELASTIQUE HOMOGENEISE;Comportement homogénéisé (éléments TRIH/QUAH/CUBH);—
MECANIQUE - linéaire;ELASTIQUE SECTION;Comportement d'une section droite de poutre (modèle à fibres);—
MECANIQUE - linéaire;ELASTIQUE ARMATURE;Armature active/passive de béton armé (élément BARR);— (la liaison cinématique armature/béton se fait par Model.embedded)
MECANIQUE - linéaire;ELASTIQUE MODAL;Représentation des déplacements sur une base de modes propres;—
MECANIQUE - linéaire;ELASTIQUE STATIQUE;Représentation par une solution élastique (base statique);—
MECANIQUE - linéaire;ELASTIQUE IMPEDANCE;Support d'impédance (POI1 / SEG2) : raideur, amortisseur;—
MECANIQUE - non linéaire externe;NON_LINEAIRE EQUIPLAS;Élasticité non linéaire identique en charge au plastique isotrope;—
MECANIQUE - non linéaire externe;NON_LINEAIRE UTILISATEUR;Loi de comportement externe programmée par l'utilisateur (UMAT);— (une loi s'ajoute en Rust : voir « Ajouter une physique »)
MECANIQUE - plasticité;PLASTIQUE ISOTROPE;von Mises à écrouissage isotrope (option par défaut);—
MECANIQUE - plasticité;PLASTIQUE PARFAIT;von Mises sans écrouissage (J2, retour radial);Model.plasticity (tangente cohérente D_alg incluse)
MECANIQUE - plasticité;PLASTIQUE CINEMATIQUE;von Mises à écrouissage cinématique linéaire;—
MECANIQUE - plasticité;PLASTIQUE DRUCKER_PARFAIT;Drucker-Prager à écoulement associé, sans écrouissage;—
MECANIQUE - plasticité;PLASTIQUE DRUCKER_PRAGER;Drucker-Prager à écoulement non associé avec écrouissage;—
MECANIQUE - plasticité;PLASTIQUE DRUCKER_PRAGER_2;Béton adoucissant à deux seuils (Rankine traction + Drucker-Prager compression);—
MECANIQUE - plasticité;PLASTIQUE DP_SOL;Drucker-Prager non associé à écrouissage non linéaire (sols);—
MECANIQUE - plasticité;PLASTIQUE BETON;Modèle béton (contraintes planes uniquement);—
MECANIQUE - plasticité;PLASTIQUE CHABOCHE1;Chaboche à un centre (+ écrouissage isotrope);—
MECANIQUE - plasticité;PLASTIQUE CHABOCHE2;Chaboche à deux centres (+ écrouissage isotrope);—
MECANIQUE - plasticité;PLASTIQUE TUYAU_FISSURE;Plasticité parfaite/écrouissable pour l'élément TUFI;—
MECANIQUE - plasticité;PLASTIQUE ENDOMMAGEABLE;Élastoplastique endommageable (Lemaitre-Chaboche);—
MECANIQUE - plasticité;PLASTIQUE GAUVAIN;Modèle de Gauvain;—
MECANIQUE - plasticité;PLASTIQUE BILIN_MOMY;Flexion bilinéaire pour éléments POUT/TIMO;—
MECANIQUE - plasticité;PLASTIQUE BILIN_EFFZ;Cisaillement bilinéaire pour éléments POUT/TIMO;—
MECANIQUE - plasticité;PLASTIQUE TAKEDA_MOMY;Flexion de Takeda pour éléments POUT/TIMO;—
MECANIQUE - plasticité;PLASTIQUE TAKEMO_EFFZ;Cisaillement de Takeda pour éléments POUT/TIMO;—
MECANIQUE - plasticité;PLASTIQUE BA1D;Modèle global de poteau en béton armé en flexion (POUT);—
MECANIQUE - plasticité;PLASTIQUE LINESPRING;Plasticité parfaite/écrouissable pour l'élément LINESPRING;—
MECANIQUE - plasticité;PLASTIQUE UBIQUITOUS;Modèle Ubiquitous (plans de faiblesse répartis);—
MECANIQUE - plasticité;PLASTIQUE GLOBAL;Lois globales par type de sollicitation (béton armé);—
MECANIQUE - plasticité;PLASTIQUE CAM_CLAY;Élastique non linéaire en volume, plastique en volume et distorsion;—
MECANIQUE - plasticité;PLASTIQUE HUJEUX;Sols et milieux granulaires (volume + distorsion);—
MECANIQUE - plasticité;PLASTIQUE GURSON;Surface de Gurson dépendant de la pression, porosité en variable interne (3D/axi);—
MECANIQUE - plasticité;PLASTIQUE JOINT_DILATANT;Joint Mohr-Coulomb à écoulement non associé (2D);—
MECANIQUE - plasticité;PLASTIQUE JOINT_SOFT;Joint Mohr-Coulomb adoucissant sans dilatance (2D);—
MECANIQUE - plasticité;PLASTIQUE JOINT_COAT;Joint en cisaillement : plasticité isotrope, adoucissement, endommagement;—
MECANIQUE - plasticité;PLASTIQUE ANCRAGE_ELIGEHAUSEN;Loi d'ancrage d'Eligehausen adoucissante en cisaillement;—
MECANIQUE - plasticité;PLASTIQUE COULOMB;Joint dilatant Mohr-Coulomb à écoulement associé;—
MECANIQUE - plasticité;PLASTIQUE INTJOI;Interface acier/béton avec corrosion (endommagement + glissement);—
MECANIQUE - plasticité;PLASTIQUE AMADEI;Joint non linéaire incrémental adoucissant en cisaillement;—
MECANIQUE - plasticité;PLASTIQUE ACIER_UNI;Acier de Menegotto-Pinto (barre / section de poutre à fibres);—
MECANIQUE - plasticité;PLASTIQUE ACIER_ANCRAGE;ACIER_UNI couplé au glissement acier/béton d'Eligehausen;—
MECANIQUE - plasticité;PLASTIQUE BETON_UNI;Béton de Hognestad (barre / section de poutre à fibres);—
MECANIQUE - plasticité;PLASTIQUE BETON_BAEL;Béton du BAEL (barre / section de poutre à fibres);—
MECANIQUE - plasticité;PLASTIQUE MAZARS;Endommagement scalaire de Mazars porté par le modèle à fibres;— (voir ENDOMMAGEMENT MAZARS pour la version massive)
MECANIQUE - plasticité;PLASTIQUE INTIMP;Acier corrodé couplé à une interface acier/béton RICINT (multifibre);—
MECANIQUE - plasticité;PLASTIQUE UNILATERAL;Endommagement à 2 variables scalaires, chargements cycliques (La Borderie, fibres);—
MECANIQUE - plasticité;PLASTIQUE FRAGILE_UNI;Endommagement fragile unilatéral traction/compression (fibres);—
MECANIQUE - plasticité;PLASTIQUE STRUT_UNI;Effort tranchant non linéaire (bielle béton + cadre) sur section à fibres;—
MECANIQUE - plasticité;PLASTIQUE CISAIL_NL;Cisaillement / effort tranchant adoucissant (poutres Timoshenko et fibres);—
MECANIQUE - plasticité;PLASTIQUE INFILL_UNI;Endommagement-plasticité unilatéral pour murs de remplissage en maçonnerie (barre);—
MECANIQUE - plasticité;PLASTIQUE PARFAIT_UNI;Acier élastoplastique à écrouissage cinématique (section de poutre);—
