Thématique;Opérateur Cast3M;Description courte;Équivalent pyrucast
Maillage - création;POIN;Crée un point (nœud) à des coordonnées données;Node / poi1_from_nodes
Maillage - création;DROI;Maille une droite en n segments SEG2;line
Maillage - création;CERC;Maille un cercle fermé en SEG2/SEG3;circle
Maillage - création;C (CERC);Arc de cercle par 3 points;arc
Maillage - création;COUR;Maille une courbe quelconque;—
Maillage - création;CONT;Extrait le contour (frontière) d'une surface;border
Maillage - création;ENVE;Extrait l'enveloppe (peau) d'un volume, découpée par face plane;skin
Maillage - création;SURF;Maille une surface délimitée par un contour fermé;triangulate_surface / pave_surface / grid_surface / grid_surface2
Maillage - création;DALL;Surface structurée entre 4 côtés (interpolation transfinie);transfinite
Maillage - création;REGL;Surface réglée entre deux lignes;—
Maillage - création;PAVE;Maille un pavé / bloc volumique structuré;—
Maillage - création;MANU;Maillage manuel (élément défini nœud par nœud);Mesh(coords, type)
Maillage - création;LIRE;Lit un maillage depuis un fichier externe (gmsh .msh, ASCII/binaire);read_gmsh / read_gmsh_str
Maillage - génération;TRAN;Translation/extrusion d'un maillage (engendre la dimension supérieure);extrude / translate
Maillage - génération;ROTA;Rotation / révolution d'un maillage;rotate / revolve
Maillage - génération;VOLU;Volume engendré par déplacement d'une surface;sweep / sweep_solid / revolve / triangulate_volume / pave_volume
Maillage - génération;GENE;Génère un maillage par balayage entre deux lignes;sweep
Maillage - génération;SYME;Symétrie d'un maillage;symmetry_point / symmetry_line / symmetry_plane
Maillage - génération;HOMO;Homothétie d'un maillage;—
Maillage - génération;AFFI;Affinité (mise à l'échelle anisotrope);—
Maillage - assemblage;ET;Union (assemblage) de plusieurs maillages;union (opérateur |)
Maillage - assemblage;ELIM;Élimine les nœuds doubles (fusion par tolérance);merge_nodes (drapeau in_place pour souder les maillages en place)
Maillage - assemblage;ENLE;Enlève des éléments d'un maillage;—
Maillage - assemblage;DIFF;Différence de maillages;—
Maillage - assemblage;INTE;Intersection de maillages;—
Maillage - transformation;CHAN;Change le type d'élément (POI1, passage quadratique…);to_poi1 (cas POI1) / to_quadratic (linéaire→quadratique) / convert (QUA4→TRI3, HEX8→TET4)
Maillage - transformation;PLUS;Translate les coordonnées des nœuds;coords.displace / coords.set
Maillage - transformation;TOUR;Tourne (rotation) les coordonnées des nœuds;rotate
Maillage - transformation;INVE;Inverse l'orientation des éléments;invert
Maillage - transformation;ORIE;Oriente les éléments d'une surface/ligne;orient
Maillage - transformation;;Réordonne les mailles d'une ligne (SEG2/SEG3) en chaîne continue;chain
Maillage - transformation;RACC;Raccorde deux maillages (collage);—
Maillage - transformation;DENS;Fixe la densité (taille de maille) courante;refinement de surface (paramètre)
Maillage - transformation;BARY;Barycentre d'un maillage / centres des éléments;barycenter
Maillage - info;COOR;Coordonnées des nœuds d'un maillage;positions
Maillage - info;NOEU;Nœuds d'un maillage;Mesh / Node
Maillage - info;FACE;Faces (frontières) des éléments;—
Maillage - info;MESU;Mesure (longueur / aire / volume) d'un maillage;—
Maillage - info;DIME;Dimension de l'espace de travail;Coords (dimension)
Maillage - info;MODE AXIS;Hypothèse axisymétrique (plan méridien r-z d'un solide de révolution);Coords.axisymmetric() — x = r, y = z ; mesure 2πr sur toutes les intégrales
Maillage - info;NBNO;Nombre de nœuds;len(mesh) / méthodes Mesh
Maillage - info;QUEL;Information sur un élément (type, nœuds);Cell / Element
Maillage - info;ELEM (APPUYE);Éléments d'un maillage s'appuyant sur un jeu de nœuds;elements_on
Maillage - info;POIN PROC;Nœud d'un maillage le plus proche de coordonnées données;nearest_node / Mesh.nearest_node
Maillage - info;POIN PLAN;Nœuds d'un maillage situés dans un plan (une droite en 2D);points_on_plane ; demi-espace opposé à la normale par points_below_plane
Maillage - info;POIN DROIT;Nœuds d'un maillage situés sur une droite (infinie);points_on_line
Maillage - info;POIN SPHE;Nœuds d'un maillage situés sur une sphère (un cercle en 2D);points_on_sphere ; intérieur par points_in_sphere
Maillage - info;POIN CYLI;Nœuds d'un maillage situés sur un cylindre (surface latérale, disques exclus);points_on_cylinder ; intérieur par points_in_cylinder
Maillage - info;POIN CONE;Nœuds d'un maillage situés sur un cône (tronqué, surface latérale);points_on_cone ; intérieur par points_in_cone
Maillage - info;POIN TORE;Nœuds d'un maillage situés sur un tore à section circulaire (3D);points_on_torus ; intérieur par points_in_torus
Modèle et matériau;MODE;Définit un modèle (physique, formulation, élément fini);Model.* (heat_conduction, elasticity, plasticity, mazars…) ; formulation mécanique en argument (plane_stress, plane_strain, axisymmetric, solid) — élasticité, plasticité et Mazars ; nature physique par bloc via physics() ; filtrage par nature via Model.filter / Matrix.filter
Modèle et matériau;MATE;Définit le champ de propriétés matériau;material_field / sub_material_field
Modèle et matériau;CARA;Caractéristiques géométriques (sections de poutres/coques);material_field (composantes section)
Modèle et matériau;COMP;Intègre la loi de comportement (déf -> contraintes);integrate_behavior
Modèle et matériau;ELAS;Renvoie les caractéristiques élastiques;modèle elasticity + material_field
Assemblage matrices;RIGI;Matrice de rigidité;stiffness
Assemblage matrices;MASS;Matrice de masse;mass
Assemblage matrices;COND;Matrice de conductivité (thermique);stiffness (heat_conduction)
Assemblage matrices;CAPA;Matrice de capacité thermique;mass (heat_conduction)
Assemblage matrices;AMOR;Matrice d'amortissement;—
Assemblage matrices;KSIG;Matrice de rigidité géométrique (précontrainte);geometric
Assemblage matrices;BSIG;Forces internes nodales (B^T . sigma);internal_forces / internal_forces_continuum
Conditions limites / chargement;BLOQ;Blocage de degrés de liberté (Dirichlet);Model.dirichlet
Conditions limites / chargement;DEPI;Impose une valeur (déplacement) à un blocage;flux / second membre Dirichlet
Conditions limites / chargement;RELA;Relation linéaire entre DDL;Model.mpc
Conditions limites / chargement;RELA INEG;Relation unilatérale (inégalité) entre DDL;Model.dirichlet / Model.mpc (sense=">=")
Contact;IMPO;Contact unilatéral nœud-surface entre deux maillages;Model.contact
Contact;JEU;Jeu initial entre surfaces en contact;Model.contact_gaps
Conditions limites / chargement;FORC;Force nodale appliquée;NodeField (second membre)
Conditions limites / chargement;PRES;Chargement de pression sur une surface;—
Conditions limites / chargement;FLUX;Flux surfacique/volumique imposé (thermique);flux
Conditions limites / chargement;SOUR;Source volumique (thermique);flux (densité)
Conditions limites / chargement;CONV;Échange par convection (Robin / film);Model.convection (matrice de film h∫NiNj) + flux (charge h·T_ext)
Conditions limites / chargement;CHAR;Définit un chargement (évolution temporelle);NodeField
Résolution;RESO;Résout un système linéaire K.u = f;solve
Résolution;PASAPAS;Procédure pas à pas (transitoire / non-linéaire);—
Résolution;VIBR;Modes propres de vibration;—
Résolution;FLAM;Modes de flambage;—
Résolution;INVE (mat.);Inverse d'une matrice;solve (résolution dense LU)
Résolution;KRES;Résolution avec conditions (rigidité + blocages);solve
Résolution;CONDENSATION;Élimination des relations linéaires (maître/esclave) au lieu de multiplicateurs;solve_eliminate
Résolution;RESO (INEG);Résolution avec relations unilatérales (statut actif/inactif);solve_unilateral
Champs - dérivation;GRAD;Gradient d'un champ aux points de Gauss;gradient
Champs - dérivation;EPSI;Déformations à partir d'un déplacement;deformation / beam_deformation
Champs - dérivation;SIGM;Contraintes à partir des déformations;integrate_behavior
Champs - dérivation;REAC;Réactions nodales;—
Champs - extraction;EXCO;Extrait/renomme une composante d'un champ;filter_components (extraction, str ou liste) / rename_component (renommage)
Champs - extraction;DEPL;Extrait le champ de déplacement;NodeField
Champs - extraction;CHAN (CHAM);Change le support d'un champ (Gauss <-> nœuds);interp_to_gauss (nœuds -> Gauss) / divergence (Gauss -> nœuds) / node_field.consolidate
Champs - extraction;ELNO;Passe un champ des points de Gauss aux nœuds;divergence (partiel)
Champs - extraction;REDU;Restreint un champ à un sous-maillage;restrict
Champs - extraction;;Reprojette un champ sur le support et les composantes d'un champ cible (combinable par + - * /);restrict_like
Champs - assemblage;NOMC;Renomme les composantes;rename_component
Champs - assemblage;PLUS (chp);Fusionne / additionne des champs;merge / union (|)
Champs - réduction;INTG;Intégrale d'un champ sur un domaine;—
Champs - réduction;RESU;Résultante d'un champ;—
Champs - réduction;MAXI;Maximum d'un champ;NodeField.max / ElementField.max
Champs - réduction;MINI;Minimum d'un champ;NodeField.min / ElementField.min
Champs - réduction;MOYE;Moyenne d'un champ;—
Champs - réduction;PSCA;Produit scalaire nœud par nœud de deux champs (renvoie un champ);psca
Champs - réduction;XTY;Produit scalaire global de deux champs entiers (renvoie un flottant);xty
Champs - réduction;INTG;Intègre un champ sur son support (∫ f dΩ, quadrature EF);integral / integral_element
Champs - réduction;RESU;Résultante (somme) d'un champ de forces nodal;NodeField.sum / ElementField.sum
Maths - arithmétique;+;Addition;__add__ (champs/scalaires)
